entropy,avg_displacement
8.034417152404785156e+00,7.336563891396957970e+00
8.031278610229492188e+00,6.544525168908652546e+00
8.028743743896484375e+00,5.158745025617563762e+00
8.025743484497070312e+00,4.762388231772461289e+00
8.022908210754394531e+00,6.742429817744629794e+00
8.020306587219238281e+00,7.930745182767569901e+00
8.017835617065429688e+00,4.366297523763281951e+00
8.015067100524902344e+00,5.752461895098099909e+00
8.012225151062011719e+00,6.742680913832255207e+00
8.009599685668945312e+00,5.554453308274363899e+00
8.006662368774414062e+00,7.732600656255364413e+00
8.003818511962890625e+00,6.940523411304347690e+00
8.001217842102050781e+00,6.940795755443651238e+00
7.998692989349365234e+00,5.950315180088647793e+00
7.996093750000000000e+00,5.356550762807979815e+00
7.993741512298583984e+00,7.336613494630228161e+00
7.991395473480224609e+00,7.534544156074159282e+00
7.988889694213867188e+00,5.356458894988838537e+00
7.986413955688476562e+00,5.950542819648553916e+00
7.984262943267822266e+00,6.742976141258789191e+00
7.981976985931396484e+00,6.742561921581845752e+00
7.979902267456054688e+00,6.148388941609574943e+00
7.978136062622070312e+00,6.544411287532034827e+00
7.976059436798095703e+00,6.742712323125412688e+00
7.973913192749023438e+00,5.158581275987966563e+00
7.972093582153320312e+00,7.336639810824780561e+00
7.969970226287841797e+00,6.544673935327303127e+00
7.967879295349121094e+00,5.752402479930574408e+00
7.965650558471679688e+00,6.148604484770975098e+00
7.963576316833496094e+00,4.366313059796715912e+00
7.961481094360351562e+00,6.148563678762079654e+00
7.959209442138671875e+00,6.940570306305793302e+00
7.956957817077636719e+00,8.128581444320293059e+00
7.954747200012207031e+00,6.544566715703005855e+00
7.952352523803710938e+00,5.554442281414800675e+00
7.950325965881347656e+00,7.534677742053142779e+00
7.948268413543701172e+00,8.128680661760553150e+00
7.946125030517578125e+00,5.950554574985189582e+00
7.944163322448730469e+00,5.950529011158503856e+00
7.942193031311035156e+00,7.930585971368057763e+00
7.939829826354980469e+00,3.970255526668622359e+00
7.938064575195312500e+00,6.148586118998164984e+00
7.936292648315429688e+00,5.554672289260618179e+00
7.934687614440917969e+00,6.346314451745276308e+00
7.932951927185058594e+00,6.742422930174948981e+00
7.931373596191406250e+00,6.742430389811249647e+00
7.929980278015136719e+00,7.336614011304045668e+00
7.928458213806152344e+00,5.950315631456791543e+00
7.926813602447509766e+00,6.346527741602883133e+00
7.925416469573974609e+00,6.544442109951898345e+00
7.923584938049316406e+00,7.336747508828486808e+00
7.921972274780273438e+00,5.158496112739674011e+00
7.920243263244628906e+00,4.762257406002798454e+00
7.918627738952636719e+00,6.940583229838531487e+00
7.916958332061767578e+00,6.544758347833026235e+00
